                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0187,                 3.5638,                 1.4045,                0.00698,                0.94872,                0.06456,                0.03484,                 0.5721,                  3.981,                 1.2091,                  7e-05,                  7e-05,                  7e-05
                      2,                0.68384,                 3.2962,                 1.1807,                0.00671,                0.94872,                0.15195,                0.09573,                0.61832,                 3.9499,                 1.1748,             0.00014703,             0.00014703,             0.00014703
                      3,                0.65728,                 3.1146,                 1.1813,                0.00592,                 0.9359,                0.18346,                 0.1275,                0.45747,                 3.8311,                 1.1217,             0.00022089,             0.00022089,             0.00022089
                      4,                0.69073,                 2.8739,                  1.221,                 0.0056,                0.94872,                0.19486,                 0.1296,                0.55481,                 3.8039,                 1.1777,             0.00029159,             0.00029159,             0.00029159
                      5,                0.80133,                 2.7136,                 1.3163,                0.26014,                0.24944,                0.20696,                0.14085,                0.74363,                 3.7549,                 1.3453,             0.00035911,             0.00035911,             0.00035911
                      6,                0.70009,                 2.5644,                 1.2059,                0.00545,                0.92094,                0.11128,                0.07471,                 0.7594,                 3.7503,                 1.4499,             0.00042347,             0.00042347,             0.00042347
                      7,                0.71457,                 2.4679,                  1.198,                0.29525,                0.33954,                0.22741,                0.17466,                0.61482,                 3.3272,                 1.3204,             0.00048466,             0.00048466,             0.00048466
                      8,                0.69402,                 2.4085,                 1.1658,                0.18681,                0.36148,                0.28218,                0.22523,                0.72419,                 3.2824,                 1.3064,             0.00054268,             0.00054268,             0.00054268
                      9,                0.73654,                 2.2707,                 1.2028,                 0.3316,                0.48716,                0.32361,                0.21576,                0.74968,                 3.0265,                 1.3737,             0.00059754,             0.00059754,             0.00059754
                     10,                0.73422,                 2.2839,                 1.1799,                0.26216,                0.44565,                  0.363,                0.24661,                0.76903,                 3.0893,                 1.4059,             0.00064922,             0.00064922,             0.00064922
                     11,                0.74824,                 2.0828,                 1.1836,                0.32243,                0.48006,                0.40134,                0.25468,                0.78031,                 3.1038,                 1.4968,             0.00069774,             0.00069774,             0.00069774
                     12,                0.67871,                 2.0898,                 1.1563,                0.23601,                0.36071,                0.32529,                0.21953,                0.76123,                 3.0771,                 1.3505,             0.00074309,             0.00074309,             0.00074309
                     13,                0.64377,                 2.0034,                 1.1515,                0.24883,                0.51659,                0.33619,                0.22683,                0.86864,                 4.3146,                 1.4842,              0.0007624,              0.0007624,              0.0007624
                     14,                0.74278,                 1.9759,                 1.1976,                0.43132,                0.37973,                0.33625,                0.21326,                  0.785,                 4.7168,                 1.4791,              0.0007624,              0.0007624,              0.0007624
                     15,                 0.7164,                 2.0714,                 1.2124,                0.57694,                0.40701,                0.43395,                0.26327,                0.77568,                 4.4789,                 1.4423,              0.0007426,              0.0007426,              0.0007426
                     16,                0.67131,                 1.9215,                 1.2078,                0.30285,                0.50599,                0.48492,                0.32479,                0.83612,                 3.7175,                 1.4126,              0.0007228,              0.0007228,              0.0007228
                     17,                0.67836,                 1.9007,                 1.1776,                0.42303,                0.44521,                  0.475,                 0.3294,                0.84157,                 3.7486,                 1.4817,               0.000703,               0.000703,               0.000703
                     18,                0.67103,                 1.8897,                 1.1382,                0.20477,                0.64772,                0.50798,                0.32837,                 1.0162,                 3.3184,                 1.7649,              0.0006832,              0.0006832,              0.0006832
                     19,                0.62984,                 1.7066,                 1.1493,                0.42994,                 0.4714,                0.53057,                0.34578,                 0.7976,                  3.654,                 1.4181,              0.0006634,              0.0006634,              0.0006634
                     20,                 0.6384,                 1.6992,                 1.1397,                0.55986,                0.55372,                0.62943,                0.38988,                0.88743,                 2.8675,                 1.5073,              0.0006436,              0.0006436,              0.0006436
                     21,                0.64636,                 1.5965,                 1.1071,                0.77958,                0.50088,                0.64862,                0.51774,                0.84633,                  2.356,                 1.5073,              0.0006238,              0.0006238,              0.0006238
                     22,                0.72035,                 1.8201,                 1.1815,                0.54643,                0.62222,                0.59233,                0.45149,                0.87202,                 2.7028,                 1.4885,               0.000604,               0.000604,               0.000604
                     23,                0.63159,                 1.5952,                 1.1347,                0.67154,                 0.4822,                 0.6249,                0.42356,                 1.4871,                 3.6833,                  2.665,              0.0005842,              0.0005842,              0.0005842
                     24,                0.65648,                 1.6668,                  1.147,                0.71626,                0.53622,                0.61445,                0.41538,                 1.5545,                 4.0612,                 2.9793,              0.0005644,              0.0005644,              0.0005644
                     25,                0.62939,                 1.4716,                 1.1137,                0.69201,                 0.5863,                0.69458,                0.50424,                 1.2006,                 3.0514,                 1.9606,              0.0005446,              0.0005446,              0.0005446
                     26,                0.57228,                 1.4434,                 1.0657,                0.63708,                 0.6537,                0.71504,                0.52201,                0.82724,                 2.5037,                 1.4269,              0.0005248,              0.0005248,              0.0005248
                     27,                0.60377,                 1.4292,                 1.0977,                0.54765,                 0.6431,                0.66527,                 0.5273,                0.72349,                 2.2161,                  1.323,               0.000505,               0.000505,               0.000505
                     28,                0.53658,                 1.3331,                  1.104,                0.71607,                0.61225,                 0.7092,                0.52618,                0.79059,                 1.8823,                 1.3814,              0.0004852,              0.0004852,              0.0004852
                     29,                0.67118,                 1.3659,                 1.1725,                0.70381,                0.67807,                0.74376,                0.52201,                 0.8076,                  1.786,                  1.377,              0.0004654,              0.0004654,              0.0004654
                     30,                 0.5671,                 1.3047,                 1.0653,                0.73399,                0.65931,                0.73777,                0.54163,                0.73426,                 1.7013,                 1.3014,              0.0004456,              0.0004456,              0.0004456
                     31,                0.56588,                 1.2535,                 1.0862,                   0.81,                0.61964,                 0.7533,                0.58596,                0.70541,                 1.5642,                  1.253,              0.0004258,              0.0004258,              0.0004258
                     32,                0.57899,                 1.2175,                 1.0791,                  0.776,                0.63237,                0.73177,                0.58867,                0.72333,                 1.6231,                 1.2805,               0.000406,               0.000406,               0.000406
                     33,                0.56644,                 1.3917,                 1.1815,                0.86448,                0.60867,                0.76941,                0.59213,                  0.812,                 1.5386,                 1.3373,              0.0003862,              0.0003862,              0.0003862
                     34,                0.56374,                  1.211,                 1.0761,                0.85774,                0.64336,                 0.7642,                0.59329,                0.83667,                   1.54,                 1.3632,              0.0003664,              0.0003664,              0.0003664
                     35,                0.56243,                  1.253,                 1.0569,                0.87646,                0.65348,                0.75589,                0.60407,                0.79102,                 1.5183,                 1.3068,              0.0003466,              0.0003466,              0.0003466
                     36,                0.49246,                 1.1466,                 1.0398,                0.90548,                0.63665,                 0.7836,                0.63797,                0.71322,                 1.5064,                  1.269,              0.0003268,              0.0003268,              0.0003268
                     37,                0.53277,                 1.1409,                 1.0853,                0.85786,                 0.6647,                 0.7942,                 0.6424,                0.71778,                 1.4857,                 1.2848,               0.000307,               0.000307,               0.000307
                     38,                0.55028,                 1.2482,                 1.0663,                0.77947,                0.63399,                0.78887,                0.61465,                0.76706,                 1.5389,                 1.3305,              0.0002872,              0.0002872,              0.0002872
                     39,                0.52812,                 1.0818,                 1.0371,                0.76879,                0.67524,                0.79244,                 0.6124,                0.74066,                 1.5199,                 1.3255,              0.0002674,              0.0002674,              0.0002674
                     40,                0.58621,                 1.2182,                 1.0821,                0.71777,                0.64876,                0.79676,                0.61769,                0.69988,                 1.4584,                 1.2856,              0.0002476,              0.0002476,              0.0002476
                     41,                0.48837,                 1.4662,                 1.0816,                0.81205,                0.64808,                0.80557,                0.63197,                0.67688,                 1.5428,                 1.2575,              0.0002278,              0.0002278,              0.0002278
                     42,                0.53301,                 1.3969,                 1.1703,                0.88036,                0.60304,                0.84137,                 0.6031,                0.73378,                 1.9556,                 1.2999,               0.000208,               0.000208,               0.000208
                     43,                0.46563,                 1.5212,                 1.0572,                0.88028,                0.57052,                0.76517,                0.57286,                0.80498,                 1.9714,                 1.3908,              0.0001882,              0.0001882,              0.0001882
